index,count_matched,matched_0,matched_1,matched_2,matched_3,matched_4,matched_5,matched_6,matched_7,matched_8,matched_9,matched_10,matched_11,matched_12,matched_13,matched_14,matched_15,matched_16,matched_17,matched_18,matched_19,matched_20,matched_21,matched_22,matched_23,matched_24,matched_25,matched_26,matched_27,matched_28,matched_29,matched_30,matched_31,matched_32,matched_33,matched_34,matched_35,matched_36,matched_37,matched_38,matched_39,matched_40,matched_41,matched_42,matched_43,matched_44,matched_45,adjacent_0,adjacent_1,adjacent_2,adjacent_3,adjacent_4,adjacent_5,belong_0,belong_1,belong_2,belong_3,belong_4,belong_5,belong_6,belong_7,belong_8,belong_9,belong_10,belong_11,belong_12,belong_13,belong_14,belong_15,belong_16,belong_17,belong_18,belong_19,belong_20,belong_21,belong_22,belong_23,belong_24,belong_25,belong_26,belong_27,belong_28,belong_29,belong_30,belong_31,belong_32
r14897,5.0,DEBY_LOD2_4905773_a9d353fc-97e7-43fd-84bf-56e0b60f1e1b_2,DEBY_LOD2_4905775_9c71f0e0-3564-45ae-b9b5-c6e5cc22db40_2,DEBY_LOD2_4905777_0e1f11ba-3a1b-4293-985d-dc22a6343526_2,DEBY_LOD2_4905776_2778b695-f0d8-4014-ab2c-7fb57b9464e2_2,DEBY_LOD2_4905774_a60e770d-3d76-426e-8fd7-ce4e73564454_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEBY_LOD2_42364905_1ec87ac6-ac5f-469d-9250-49efac0e681e_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w278693166,1.0,DEBY_LOD2_4958542_9235dd8e-c84d-4aa2-a80c-202f8ea1239a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r20841,1.0,DEBY_LOD2_4959476_04b7cb62-fe2b-4d53-96f8-ff2011a49887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r20877,21.0,DEBY_LOD2_4958512_e8e5cbd1-cd70-4833-9396-79e6f5082135,DEBY_LOD2_4958535_5088bd25-ca63-4462-8c95-b170b3af4e72,DEBY_LOD2_4958516_549d27b7-8a82-4af7-a1b9-7b397f47c9f4,DEBY_LOD2_4958519_f688e7bb-e986-4b58-ad6c-45dbf0931944,DEBY_LOD2_4958513_f243f665-52dc-4cdd-8d2c-fd49ae94f8be,DEBY_LOD2_4958533_948ccda5-adcc-4cd9-8cdd-095ac1960a05_2,DEBY_LOD2_4958517_54ed7024-43b9-4070-99e5-42eb8f5c1f4b,DEBY_LOD2_4958540_3011de59-3f73-49f9-8a8b-b05b43f4f30e,DEBY_LOD2_4958518_d50d24fd-b686-407c-b98a-f9ddeaee5794,DEBY_LOD2_4958538_2a82b713-9d2b-4bc5-b2c6-e400ed1dd251_2,DEBY_LOD2_4958511_0dbd4383-7834-4df2-b853-ff442769107f,DEBY_LOD2_4958534_8b52492e-36b0-4723-a517-08d7decddc1c,DEBY_LOD2_4958515_a8e9d9ce-1c18-48f3-9433-1d285b3777f4,DEBY_LOD2_4958514_86daf34d-78da-4782-9293-c0a633dd516e,DEBY_LOD2_4958539_cf3813de-7791-4896-bfd3-28b3eaee6121_2,DEBY_LOD2_4959452_2f863d38-7c01-4c8a-a1e7-9096382d74bd,DEBY_LOD2_59969_0ea43931-9e6d-46cc-9c85-bd0c46570256,DEBY_LOD2_4959500_3c0105ab-67ad-4332-a188-b121dd9a13c1,DEBY_LOD2_4958536_7f76db74-ea15-47c9-9a70-c877d8f50be6,DEBY_LOD2_4959451_3d43e5b7-58f8-4fe6-9db9-db8b63390db2_2,DEBY_LOD2_4958537_f7fb3455-2597-4154-bb6f-6cdc2a0a51a5_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w228719277,4.0,DEBY_LOD2_4958520_b346e6ad-505c-4a20-997e-67f28a00cf4b_2,DEBY_LOD2_4958523_9668536e-65c9-4e04-bf81-4862a8fd9cee_2,DEBY_LOD2_4958521_ef7dc2ef-4426-4c2c-9611-deac28b6bacc,DEBY_LOD2_4958524_99408662-bfdf-4534-99e9-4934aee80926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w228719293,1.0,DEBY_LOD2_4958522_030c9f8d-e5b7-4d25-9f1d-37c77031ab80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r20948,25.0,DEBY_LOD2_4957802_16b2a67f-6ce1-4387-9166-330d8efc41e0_2,DEBY_LOD2_4957790_668980a3-b8ea-4a44-ac1d-605abb253a04,DEBY_LOD2_4957787_46cd1abc-84f8-4efb-864c-486508cc83b8,DEBY_LOD2_4957793_8ff9a62d-c383-4f24-97e8-6ec60325583f,DEBY_LOD2_4957794_640e7f93-3925-4822-af3b-0b5b175082f0,DEBY_LOD2_4957803_a2663cf1-4bfa-415e-8248-88e9ccccab96,DEBY_LOD2_4957798_1b4c7a17-1750-4c9c-851b-4a6dd09bb90f,DEBY_LOD2_4957796_68c5f5a7-e648-4b11-b09d-c8a97bbd2ba4,DEBY_LOD2_4957775_5badbcc9-8377-4604-916a-d7827d69e994,DEBY_LOD2_4957800_d98f0dee-64fe-471b-934f-fd9305d21293,DEBY_LOD2_4957792_f8f35feb-7353-4702-9e0d-636b1f92a4cf_2,DEBY_LOD2_4957797_c11ee8c1-1f02-4ea9-aa8d-25f6b0353522,DEBY_LOD2_4957789_92a15e64-63d3-478c-be9c-24147056e941,DEBY_LOD2_59859_d6a06009-8372-4b07-a723-766f306e2fcb,DEBY_LOD2_4957801_2e194d38-89b8-46b2-bed6-a38f92c5e648_2,DEBY_LOD2_4957795_7ae3713c-bc29-4faf-95fc-6f0949ec6bdc_2,DEBY_LOD2_4957784_3144d262-12b9-40f7-bd36-90eec22a2f36,DEBY_LOD2_4957799_a7476ba8-4185-4ab0-858b-dcf15d8abcb8_2,DEBY_LOD2_4957791_6c0d4311-e458-4be7-a369-8c3cd4c09c12_2,DEBY_LOD2_4957805_98f50421-eeac-4774-9a3b-d36250462c32_2,DEBY_LOD2_59860_a1e2f2fd-abe8-4fb3-83e0-b4d2078e052d,DEBY_LOD2_4957806_4666e28f-a6c3-44bb-a5f8-63313093bfc6,DEBY_LOD2_4957774_a34b0b4c-18c2-4ec8-bbfe-0672631e42fe,DEBY_LOD2_4957777_5697574f-a8e0-494a-8ca4-e0811098449f,DEBY_LOD2_4957804_b8115e56-abc1-465e-8f5e-be4106cae284_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w338648414,1.0,DEBY_LOD2_4958373_f76fcfdb-cd7c-465a-8836-be00839e21d5_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w370023037,1.0,DEBY_LOD2_4958373_f76fcfdb-cd7c-465a-8836-be00839e21d5_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w390600046,1.0,DEBY_LOD2_4958373_f76fcfdb-cd7c-465a-8836-be00839e21d5_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w373820851,9.0,DEBY_LOD2_4957809_4d11143e-c8aa-452f-b1d2-5441d1002001,DEBY_LOD2_4957811_43a18a41-339a-424a-bf95-ddc84786e61e,DEBY_LOD2_4957808_8e708471-00ab-4e14-a909-128a455bac9f,DEBY_LOD2_4957807_f5fe88ca-4ac9-4021-9758-c5df6cdb8b12,DEBY_LOD2_4957786_2cc32800-f52e-436e-8f5c-f107064a89c3,DEBY_LOD2_4957783_4e235659-c41d-428b-9185-18564e07eb16,DEBY_LOD2_4957788_93847a1d-b4a8-4b2d-9dd4-f131aaa352ce,DEBY_LOD2_4957785_a6c0af6d-b290-45b1-a64c-8422e7355167,DEBY_LOD2_4957810_18b0d5d0-11ee-4bd3-a603-a408e368d57e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEBY_LOD2_4957779_a2d84ac6-a7d9-4d42-b9e7-d09a92fa0821,DEBY_LOD2_4957778_75c4e564-be80-4080-b3df-43e7b1105bbb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w46620400,1.0,DEBY_LOD2_4957796_68c5f5a7-e648-4b11-b09d-c8a97bbd2ba4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w662970966,1.0,DEBY_LOD2_4957774_a34b0b4c-18c2-4ec8-bbfe-0672631e42fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w25567598,1.0,DEBY_LOD2_4958375_37dc6b50-d9c0-41ea-abdd-ec65c4026afb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r52409,3.0,DEBY_LOD2_4958508_241b0d63-1c12-4aa9-9ed3-e3c3658d9030_2,DEBY_LOD2_4958510_27ab1281-7370-43e2-923c-386e8206d0a5_2,DEBY_LOD2_4958509_3581ee78-4d3c-4b0a-bdfe-3b45cfaeb383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r52412,3.0,DEBY_LOD2_4958458_3aec5432-30e8-431f-be0f-59169e45732b_2,DEBY_LOD2_4958460_fc6558f6-98e1-4c0a-8c57-4138e1373198_2,DEBY_LOD2_4958459_162d89bb-7f4f-4b80-8a6b-00fc82a0f9e6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r52418,6.0,DEBY_LOD2_4958593_aea5ec46-f98f-4cdd-afe0-3a478bc83078,DEBY_LOD2_4958594_97e53170-611d-49b9-9fb2-d3c45e49e241,DEBY_LOD2_4958592_634ff726-7da7-4d9f-8a0c-36dd25ce9ec6_2,DEBY_LOD2_59976_e8b25c3c-aae0-4eec-8573-1dc268c21288,DEBY_LOD2_4958595_a41ab5d3-92e7-487d-9c50-9fba9e9dc3e4,DEBY_LOD2_4958587_ae91edd0-2c8d-4b51-b434-6bb8a8855882_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r52740,1.0,DEBY_LOD2_4957769_b2654362-8d8f-4997-b167-4090fcf593e4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w25505402,1.0,DEBY_LOD2_4958372_72be526e-799b-453a-8e93-3435ac60d80f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r52741,11.0,DEBY_LOD2_4957149_ee4ed403-c5b3-4551-9133-c5b2aa2ea940_2,DEBY_LOD2_4957151_c7b58ebb-05e7-40aa-b4b9-b15352755da7,DEBY_LOD2_4957103_beff3d3e-dc58-479f-a82c-6ae9949b4b35,DEBY_LOD2_4957148_079a9fb0-aaa6-40a8-81a0-eb4c5b620534_2,DEBY_LOD2_4957152_1819a7b3-a69a-4587-8d84-7e9635045872,DEBY_LOD2_4957158_88aa2422-6270-49ff-9f33-0b5f66caf458_2,DEBY_LOD2_4957150_472604c6-e7b1-4e16-8bd9-c39ec4dc6546,DEBY_LOD2_4957102_066dbb18-09e3-4ac6-8eb4-d755e6f1fb4b_2,DEBY_LOD2_59794_368e09e2-cbbb-4222-ade3-7619788f892a,DEBY_LOD2_4957153_542e3f5e-2265-4033-b1a1-caff9d8a4e0a,DEBY_LOD2_4957154_cd3b8d29-4dab-48c2-b7ad-56d397c8d9db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEBY_LOD2_4958230_47d89f58-388c-44d9-bfaf-a41c7da9582d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w25514390,3.0,DEBY_LOD2_4958232_5564a3a2-d093-4a00-b6ab-d2037ceba64b,DEBY_LOD2_4958233_d86f78db-af07-4d42-ad90-78b4565c27de,DEBY_LOD2_4957156_6f0c07ba-53c5-4d95-a40a-ccc65310e5b4_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEBY_LOD2_4958231_e6de9012-f8f4-4c42-ba1e-4695d466ba83,DEBY_LOD2_4957157_285629e3-0a10-452e-8fd0-d362d27d92c2,DEBY_LOD2_4958234_1fa79b76-18fc-4efc-955a-fc3d96bc18a5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w312008139,2.0,DEBY_LOD2_4957159_76fae6f2-069f-4382-b5e2-33ed5f050dab,DEBY_LOD2_4957155_04ad4f29-0f2a-4268-b475-0a4f05088c42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r56965,3.0,DEBY_LOD2_4907995_c07c41b5-7075-4db7-9556-c8f2bb40e812,DEBY_LOD2_4908022_5bb211a7-e87c-4748-9899-418a48c5f64d_2,DEBY_LOD2_4906582_c554a41c-5e8d-4fa9-8997-eafa339b9ce5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEBY_LOD2_4907994_ff0c36fc-af10-48eb-b601-77dc419c6815_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r61204,3.0,DEBY_LOD2_4905772_c5b5af9b-ef3e-49fc-83f9-18df60c67cd3_2,DEBY_LOD2_4905770_b1dda63c-17cd-4d80-9463-7d5946a52953_2,DEBY_LOD2_4905771_54825ca2-84ca-4f39-880c-11ca6741463f_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r71104,1.0,DEBY_LOD2_42761007_45bd420e-be34-41ed-a711-4c778875b630_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r147094,6.0,DEBY_LOD2_4957976_5f156786-020c-45ba-bcc5-418cc614fa95,DEBY_LOD2_59879_ad621432-83a1-4e83-badd-d99907df038c,DEBY_LOD2_4957978_cf45d234-2099-4c09-b660-76055372a6f3,DEBY_LOD2_4957977_f406e634-0c88-4b5e-91ac-795784e545a2,DEBY_LOD2_59878_415e6578-7cfb-42a7-ae05-364e9eec0deb,DEBY_LOD2_4957975_57091caa-55dd-4b4a-b407-18987085aa13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w4054817,3.0,DEBY_LOD2_4957979_bc34f23f-5e68-4aef-87ad-213c59c62cc4,DEBY_LOD2_4957980_075fa68a-1917-4f3f-b9f6-0ecb420319a5,DEBY_LOD2_4957981_caf2d815-c12d-4cd8-b45e-939f1917d764_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r147095,7.0,DEBY_LOD2_4957703_22beae5c-4ca5-42be-858d-6a0a6663212f_2,DEBY_LOD2_4957696_51bfc767-536d-4f0e-b37b-96e7c602afa7,DEBY_LOD2_4957699_da35233d-6f6b-4dd5-8873-e164e6ec2c93_2,DEBY_LOD2_4957697_2e4c4799-c41a-4a60-b422-708edcf79ce2,DEBY_LOD2_4957695_7f50cc36-bd67-46ca-88ed-e34c65367024_2,DEBY_LOD2_4957701_8ed555a5-79cb-485b-8749-5b69e62eb7fa_2,DEBY_LOD2_4957698_46711064-b9f6-4e3e-b2fc-2696071e8dd3_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEBY_LOD2_4957702_0e418b89-f217-45d8-a368-9194f74f3943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w224253364,1.0,DEBY_LOD2_4957703_22beae5c-4ca5-42be-858d-6a0a6663212f_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEBY_LOD2_4957702_0e418b89-f217-45d8-a368-9194f74f3943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w224253365,1.0,DEBY_LOD2_4957703_22beae5c-4ca5-42be-858d-6a0a6663212f_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEBY_LOD2_4957702_0e418b89-f217-45d8-a368-9194f74f3943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w224253368,1.0,DEBY_LOD2_4957703_22beae5c-4ca5-42be-858d-6a0a6663212f_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEBY_LOD2_4957702_0e418b89-f217-45d8-a368-9194f74f3943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w224253377,1.0,DEBY_LOD2_4957703_22beae5c-4ca5-42be-858d-6a0a6663212f_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEBY_LOD2_4957702_0e418b89-f217-45d8-a368-9194f74f3943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w224138001,1.0,DEBY_LOD2_4957695_7f50cc36-bd67-46ca-88ed-e34c65367024_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w224138004,1.0,DEBY_LOD2_4957695_7f50cc36-bd67-46ca-88ed-e34c65367024_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w224253366,1.0,DEBY_LOD2_4957695_7f50cc36-bd67-46ca-88ed-e34c65367024_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w224253373,1.0,DEBY_LOD2_4957695_7f50cc36-bd67-46ca-88ed-e34c65367024_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w224253386,1.0,DEBY_LOD2_4957695_7f50cc36-bd67-46ca-88ed-e34c65367024_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w224253387,1.0,DEBY_LOD2_4957695_7f50cc36-bd67-46ca-88ed-e34c65367024_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r301235,2.0,DEBY_LOD2_4957200_17f5d155-272c-4518-8cff-5ed682212ec3,DEBY_LOD2_4957198_65530757-9527-472c-820c-b56c7c304173_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEBY_LOD2_4957199_eae3060d-7eb1-45e2-94e4-e84049803a72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r301239,12.0,DEBY_LOD2_4958554_22bd87ac-6079-4bd9-926b-5dd469884980,DEBY_LOD2_4958552_14710b32-8b09-418b-b340-52d788fda66d,DEBY_LOD2_4958557_b2bc4935-69ec-4f0e-b2e2-2b88da17b589,DEBY_LOD2_4958555_107e2116-701a-47b6-8359-3a7fd2a77a64_2,DEBY_LOD2_4958558_f12e2b07-298b-44d9-b3af-e9acac7ceb4a_2,DEBY_LOD2_59971_3ef1037c-215e-480b-b8a9-af445b151016,DEBY_LOD2_4958553_165a3d18-93ba-473d-8e2d-892af65db305_2,DEBY_LOD2_59972_69e705d9-b2e2-47ab-8494-f63491d44b6c,DEBY_LOD2_4958551_8dbb2b55-483e-4bf6-9878-10551e732c5b,DEBY_LOD2_4958549_d48bf50e-ba53-496c-a24a-58cf85cd8fe4,DEBY_LOD2_4958550_ad8a9c9b-9aa0-4a0a-a989-7bef59fe8657,DEBY_LOD2_4958560_3369f02d-cdb6-4bf3-b714-e0f410a47bbe_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEBY_LOD2_4958556_3a727c28-d219-4d40-a402-2df16088a02c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w125213620,6.0,DEBY_LOD2_4956991_ea14fcaa-387c-4fb0-8bca-76f2a9b4544e,DEBY_LOD2_59779_747c007a-e914-41f3-b149-bcb9314fd216,DEBY_LOD2_4956990_1cf6095e-e531-42e0-9deb-a4cc7f3bd59a,DEBY_LOD2_4958125_c82b2881-63b7-4105-bdb9-2554d80e22e6_2,DEBY_LOD2_4956989_5ae1a62c-f8e7-4461-87ba-da342e90310e,DEBY_LOD2_4956988_89c22acc-15ef-4e79-a913-16e03694c97a_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEBY_LOD2_4956985_220896e0-39c8-4890-906d-5abb50d51ed6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r301240,10.0,DEBY_LOD2_4958121_347b814b-b3fb-4845-b893-dfa3d284aa2d,DEBY_LOD2_4958124_6fe72592-fd2e-440c-bee9-e65aee720b4f_2,DEBY_LOD2_4956983_00fe3970-3201-4db9-8cd8-a34543aa2487,DEBY_LOD2_4956987_6840c9f5-1f92-47a0-8d27-11d794f3bdf6,DEBY_LOD2_4958122_c59d86f5-b371-40ac-8f9b-077131bf6618,DEBY_LOD2_4956984_75e7f993-c733-4d5c-be6a-3674ddc4fcd6,DEBY_LOD2_4958123_8ca58f4d-ea97-48ae-9a3f-df09018c48d4_2,DEBY_LOD2_4958120_8647a17e-03cf-4394-ad91-0cb277764976,DEBY_LOD2_4956986_f1a8df62-3c0a-425c-b50c-ba84015a813b,DEBY_LOD2_83531_e8f7d6cf-4ebd-4698-8ac7-ef386a22b57c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEBY_LOD2_4956985_220896e0-39c8-4890-906d-5abb50d51ed6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r301242,2.0,DEBY_LOD2_4907549_9ba5942a-b0d7-4138-8cb0-613dfb9ac446_2,DEBY_LOD2_4907548_e16ab616-ffe2-4fca-b3c8-e4a5f909c25f_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r386801,2.0,DEBY_LOD2_4904032_6d5cd02e-912f-4b36-a35f-059b568b98d2,DEBY_LOD2_4904031_bc6e40cc-7aef-4b8f-877f-aeceb29bd5c2_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEBY_LOD2_4904030_b2de7acf-ab9a-4fd8-9c41-cba8bbc442e7,DEBY_LOD2_4904979_423c4b4f-a5cc-4485-a1c5-fa3cabf9191b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r386827,4.0,DEBY_LOD2_4904029_5bec0098-efad-4bf9-88d7-35d6cf66ada0,DEBY_LOD2_60554_65864761-7065-447a-b408-f1e70b5d39c3,DEBY_LOD2_4904028_4ac7304e-1c3c-4b32-a76b-10d69ec188f1,DEBY_LOD2_60553_6c4f0a60-5c1d-45d1-abd2-b8f8910d0dee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r532621,2.0,DEBY_LOD2_4907512_6179cf3c-9c7b-40cf-ae75-b9b39daa4f05,DEBY_LOD2_4907513_22d1ddd1-5763-498f-886d-ee0227d4c7a5_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w55705436,2.0,DEBY_LOD2_4957485_cb6a1e72-2675-4684-92cf-bce66fedadc6_2,DEBY_LOD2_4957486_995c29e9-a4de-4d16-8cba-66aec4a6f8ef_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r559037,2.0,DEBY_LOD2_4957483_58d0477e-bb3f-4ea6-a4fc-09a49e74a3d7_2,DEBY_LOD2_4957484_f7e1e69c-5a2c-4daa-8268-9189b60bc8b2_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w79817242,2.0,DEBY_LOD2_4957927_46b8da54-63fc-49df-8375-1879d0a42e05,DEBY_LOD2_4957928_7f3a4199-b06f-4da4-831b-64e8b73ab7d4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r1192791,2.0,DEBY_LOD2_4957922_15a800c0-460f-45e9-a42f-ed62bc84bde8,DEBY_LOD2_4957921_eac0a388-bd16-4a86-8200-9623cbb1dc65_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEBY_LOD2_107802123_9f5a9e75-dfa3-4998-8a9d-b0a7f58cfe1b_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w242367323,1.0,DEBY_LOD2_4957921_eac0a388-bd16-4a86-8200-9623cbb1dc65_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEBY_LOD2_107802123_9f5a9e75-dfa3-4998-8a9d-b0a7f58cfe1b_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r1251295,1.0,DEBY_LOD2_4959470_e769cfd6-8e61-4840-b54a-9628355f983d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
