index,count_matched,matched_0,matched_1,matched_2,matched_3,matched_4,matched_5,matched_6,matched_7,matched_8,matched_9,matched_10,matched_11,matched_12,matched_13,matched_14,matched_15,matched_16,matched_17,matched_18,matched_19,matched_20,matched_21,matched_22,matched_23,matched_24,matched_25,matched_26,matched_27,matched_28,matched_29,matched_30,matched_31,matched_32,matched_33,matched_34,matched_35,matched_36,matched_37,matched_38,matched_39,matched_40,matched_41,matched_42,matched_43,matched_44,matched_45,adjacent_0,adjacent_1,adjacent_2,adjacent_3,adjacent_4,adjacent_5,belong_0,belong_1,belong_2,belong_3,belong_4,belong_5,belong_6,belong_7,belong_8,belong_9,belong_10,belong_11,belong_12,belong_13,belong_14,belong_15,belong_16,belong_17,belong_18,belong_19,belong_20,belong_21,belong_22,belong_23,belong_24,belong_25,belong_26,belong_27,belong_28,belong_29,belong_30,belong_31,belong_32
w236022371,1.0,DEBY_LOD2_4907587_fe4fce51-2d55-4f05-8261-3ae2f5b252de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEBY_LOD2_4908377_cc76d510-9b4d-4ede-97a0-c3270e318b3e,DEBY_LOD2_4908378_0ce7d354-1282-4f1b-954e-c1d08d0e36c4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w236022375,4.0,DEBY_LOD2_4907609_2b0567d0-6fd8-44c8-8be2-0dfd296cfe07,DEBY_LOD2_4907614_83e165db-c837-4d58-a891-1532489d672a,DEBY_LOD2_4907615_6ea5c4a8-2ca7-4c19-8c24-0fb9d90010e3,DEBY_LOD2_60129_8f618343-eaf7-487e-95fd-7a6ad7555398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w236022377,1.0,DEBY_LOD2_4907616_6ff53803-83aa-44ff-b8cc-f67a07457c47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w236038505,1.0,DEBY_LOD2_30439259_a138d5e0-4c0e-49f7-a488-3aa77a14d698_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w236079026,1.0,DEBY_LOD2_30439259_a138d5e0-4c0e-49f7-a488-3aa77a14d698_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w236079027,1.0,DEBY_LOD2_30439259_a138d5e0-4c0e-49f7-a488-3aa77a14d698_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w236079028,1.0,DEBY_LOD2_30439259_a138d5e0-4c0e-49f7-a488-3aa77a14d698_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w236079029,1.0,DEBY_LOD2_30439259_a138d5e0-4c0e-49f7-a488-3aa77a14d698_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w236079022,1.0,DEBY_LOD2_8573612_0591bdca-d304-43a6-ab1e-e08f6900a5df_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w236079025,1.0,DEBY_LOD2_8573613_aad3fee2-a833-4bc8-b467-a9edb6b7dd3b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w236080269,1.0,DEBY_LOD2_4955672_5683abad-0b52-44c9-8acb-657e5a8d58ed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEBY_LOD2_104579431_191d16e2-ceea-46c7-9fe0-06b2ed1b7098_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w237105272,1.0,DEBY_LOD2_4903943_0d0dc85b-9e6e-4454-8e14-7ac375459c1e_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w237106452,1.0,DEBY_LOD2_4904841_bd880e80-943e-4ba9-9c2f-508afc576e22_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w237106453,1.0,DEBY_LOD2_4904842_962093f6-78e9-4879-914d-ce4d9fa2408f_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w621507474,1.0,DEBY_LOD2_4904236_93b27eb6-313c-4836-b1b8-b5fdb1788227_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w621507476,1.0,DEBY_LOD2_4905045_e348e679-f96d-42c3-a667-f8fbad4640dc_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w237151841,1.0,DEBY_LOD2_4904242_cabfeb18-9a62-4959-a6ba-ee3dc1ade8b0_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w621507477,1.0,DEBY_LOD2_4904245_4632e3fc-697b-46f0-b1ce-1f3b2acb5cdc_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w237426208,4.0,DEBY_LOD2_104592174_ee992937-3ddb-4b31-8cac-be5435039da7_2,DEBY_LOD2_42758031_d988fa0b-104e-4010-81fb-61298ca1ed7f_2,DEBY_LOD2_42758037_dd21c751-518a-4556-94aa-adaa5bf8afc1_2,DEBY_LOD2_42758035_4da6a3f2-c681-4f6c-a481-3cc35da044da_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEBY_LOD2_104592179_25aea86c-db15-49df-be3c-74a8285717a4_2,DEBY_LOD2_104592183_c9b07049-42b8-40a1-a72a-f957cccf4ae4_2,DEBY_LOD2_42364587_36d4561e-1590-418e-addd-81c419243fba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w237520660,2.0,DEBY_LOD2_4903838_b17f33ed-20cb-46fa-a712-fd9193c5b771,DEBY_LOD2_4903839_b5e493e9-6a2b-4299-86c9-71b95fdf5a92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w238371647,1.0,DEBY_LOD2_63913770_55318d6a-566a-4e27-8d36-ff4b44a0a36d_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w238783263,1.0,DEBY_LOD2_4906379_9cc6db59-f21e-415e-84f4-dd8fd3aa3979_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w238783265,1.0,DEBY_LOD2_107804170_f18e713c-8ca5-4734-afa1-65213c1d0e10_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w239241454,1.0,DEBY_LOD2_4863441_de1a2015-eb5c-4d14-8399-7a53013aa0a6_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEBY_LOD2_107384908_525fd190-d0cd-48d5-9cda-36d482afccc3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w239241452,1.0,DEBY_LOD2_4863439_ad251a84-5c1c-4b01-b895-266dfbde5450_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEBY_LOD2_4863437_dc5ce421-6740-423a-b289-0d31ba2ce8fb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w239241453,1.0,DEBY_LOD2_4906597_fb36979e-f6b4-4f9a-8ebc-8313285319cd_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w239241461,2.0,DEBY_LOD2_4906572_00d7b783-1f31-4637-82d9-cbfb286b8a05,DEBY_LOD2_4906574_9b0a50ac-f2ce-4a85-a02a-acf0ae6df6e8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w239241457,1.0,DEBY_LOD2_4906571_343e2ea8-b026-4166-8a4c-28611f1afa0d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w239241460,1.0,DEBY_LOD2_4864071_1915f35c-beb1-4066-8865-864c2156b7b6_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w239359872,1.0,DEBY_LOD2_4906209_ec61d79c-ddc4-463b-89fc-a8848be30afe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEBY_LOD2_4906876_8a38f0a7-6676-4c21-82a5-5bb3b3b2eb04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w239359873,2.0,DEBY_LOD2_4906208_c56942c5-7a77-47c9-a1a1-27d8f7e6deaf_2,DEBY_LOD2_4906207_64c319a6-913f-4423-b8a1-d807b5c6ddf7_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w239364159,1.0,DEBY_LOD2_4906070_3a1b3842-b828-427b-9073-b8c43cb4d872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w239934334,1.0,DEBY_LOD2_4905241_c169c03b-3813-4ca8-b59f-7bf47c03ab65_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEBY_LOD2_4905242_d367fb5c-7772-4641-ab43-d01e1ac856c4_2,DEBY_LOD2_107803584_2afca4a5-88d8-4feb-a7ae-f42cbcf8494b_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w240014257,1.0,DEBY_LOD2_4958283_d27f17d6-94a2-4557-b8f6-5574e1de5694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w240014258,2.0,DEBY_LOD2_42364973_30a27d63-ca5a-4b06-a9bb-292ee413d907_2,DEBY_LOD2_107801327_47259794-9dac-4314-aa2a-f39288ca50aa_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w240014259,1.0,DEBY_LOD2_4958355_811c9812-9c80-4533-beb8-051424450776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w240014260,1.0,DEBY_LOD2_4958282_875164d0-6120-4b37-9a9d-179b9f5c90e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w240014262,1.0,DEBY_LOD2_4958281_1663920b-ee08-45f8-b6a0-01f91f75495a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w240014263,1.0,DEBY_LOD2_4958280_0ce737f8-3537-4f74-a765-53bacd84c4ff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w240014265,2.0,DEBY_LOD2_107801326_49c249ae-7e84-47e9-905b-63bc4414d418_2,DEBY_LOD2_42364971_eea1683d-cb11-4942-8eb7-0fc324963121_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w240014268,3.0,DEBY_LOD2_107801334_d2ce71c6-2022-4783-9b9a-c9db5e5b5993_2,DEBY_LOD2_107801208_d1b89e31-31c6-404e-af8d-f1416e8256b1_2,DEBY_LOD2_104583496_92bfd8a7-8302-430d-abf3-6c67add31048_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w240286273,1.0,DEBY_LOD2_4956481_e33a5f64-89ab-4ac3-b9f2-460e75f2f513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w240286263,1.0,DEBY_LOD2_4955665_faafc72e-a37c-43be-baf7-44dcac6fb27a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w240286255,1.0,DEBY_LOD2_18272272_101c3e8b-455c-4dc1-84f5-cd4b7080ab2c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w240889468,1.0,DEBY_LOD2_4955694_0ae4cb8a-8482-4bdd-b61b-0d39211602db,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
